OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,TaxParcelIdentificationNumber,Location,CouncilDistrictCode,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),OtherFuelUse(kBtu),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity(kgCO2e/ft2),DefaultData,Comment,ComplianceStatus,Outlier,2010 Census Tracts,Seattle Police Department Micro Community Policing Plan Areas,City Council Districts,SPD Beats,Zip Codes
30,2015,NonResidential,College/University,Cornish (Main Campus Center),660001420,"{'latitude': '47.61839333', 'longitude': '-122.3369292', 'human_address': '{""address"": ""1000 LENORA ST"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98121""}'}",7,DOWNTOWN,1928,1,7,126593,0,126593,College/University,College/University,125000,,,,,,,78.30,90.90,158.90,172.10,9791557,11360926,0,1343046,4582663,52091,5209084,0,308.6,2.28,No,,Compliant,,,56,,7,19576
31,2015,NonResidential,Other,SEATTLE HONDA,660001725,"{'latitude': '47.61490582', 'longitude': '-122.33040102', 'human_address': '{""address"": ""1017 OLIVE WAY"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98101""}'}",7,DOWNTOWN,1930,1,2,67224,0,67224,Automobile Dealership,Automobile Dealership,67224,,,,,,,20.70,20.70,64.90,64.90,1388717,1388717,0,407010,1388775,0,0,0,9.68,0.06,No,,Compliant,,,14,,31,18081
32,2015,NonResidential,Hotel,HOMEWOOD SUITES -SEATTLE - Hilton,660001832,"{'latitude': '47.61300278', 'longitude': '-122.32923126', 'human_address': '{""address"": ""1011 PIKE ST"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98101""}'}",7,EAST,1991,1,8,158676,30301,128375,"Hotel, Parking, Retail Store, Swimming Pool",Hotel,112676,Parking,42000,Retail Store,4500,,,44.00,46.30,55.70,58.10,5159342,5421759,0,156133,532747,46266,4626617,0,249.43,1.56,No,,Compliant,,,19,,12,18081
33,2015,NonResidential,Hotel,SPRINGHILL SUITES SEATTLE DOWNTOWN,660002680,"{'latitude': '47.61806905', 'longitude': '-122.33005445', 'human_address': '{""address"": ""1800 YALE AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98101""}'}",7,DOWNTOWN,2001,1,10,171866,38281,133585,Hotel,Hotel,128909,,,,,,20,85.50,86.70,183.30,180.90,11026945,11178456,0,1689143,5763595,52636,5263590,0,319.73,1.72,Yes,,Compliant,,,56,,10,18081
34,2015,SPS-District K-12,K-12 School,MEANY MIDDLE SCHOOL (SPS-DISTRICT),688000090,"{'latitude': '47.62309371', 'longitude': '-122.3053887', 'human_address': '{""address"": ""300 20TH AVE E"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98112""}'}",3,CENTRAL,1955,1,1,126351,0,126351,K-12 School,K-12 School,126351,,,,,,57,49.70,64.40,84.20,102.40,6283226,8131874,0,566538,1933106,43502,4350200,0,244.51,1.87,No,,Compliant,,,35,,6,18789
35,2015,NonResidential,Hotel,Hotel Five,697000170,"{'latitude': '47.61587049', 'longitude': '-122.34197968', 'human_address': '{""address"": ""2200 5TH AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98121""}'}",7,DOWNTOWN,1978,1,5,68410,16200,52210,Hotel,Hotel,47994,,,,,,60,90.50,90.50,194.10,194.10,4341706,4341706,0,667101,2276244,20656,2065556,0,125.57,1.69,No,,Compliant,,,56,,7,19576
36,2015,SPS-District K-12,K-12 School,JANE ADAMS JUNIOR HIGH (SPS-DISTRICT),752000170,"{'latitude': '47.71011498', 'longitude': '-122.29379175', 'human_address': '{""address"": ""11031 34TH AVE NE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98125""}'}",5,NORTH,1949,1,2,160645,0,160645,K-12 School,K-12 School,164229,,,,,,80,38.90,50.90,62.60,77.20,6387710,8362498,0,501058,1709681,46781,4678100,0,260.37,1.58,Yes,,Compliant,,,29,,29,19579
37,2015,SPS-District K-12,K-12 School,JOHN HAY ELEMENTARY SCHOOL (SPS-DISTRICT),809000005,"{'latitude': '47.63303191', 'longitude': '-122.35245717', 'human_address': '{""address"": ""201 GARFIELD ST"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98109""}'}",7,MAGNOLIA / QUEEN ANNE,1989,1,2,51582,0,51582,K-12 School,K-12 School,55166,,,,,,94,26.70,30.50,83.80,95.80,1472548,1682521,0,431579,1472609,0,0,0,10.27,0.08,Yes,,Compliant,,,50,,39,18390
38,2015,NonResidential,Small- and Mid-Sized Office,HOUSE OF GOOD SHEPHERD,825049008,"{'latitude': '47.66391557', 'longitude': '-122.33172174', 'human_address': '{""address"": ""4649 SUNNYSIDE AVE N"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98103""}'}",4,LAKE UNION,1906,1,3,87262,0,87262,"K-12 School, Multifamily Housing, Office, Other - Entertainment/Public Assembly",Office,40943,K-12 School,18153,Other - Entertainment/Public Assembly,4307,,,59.20,66.30,104.10,112.30,3988729,4470231,0,396679,1353524,26353,2635261,0,149.39,1.65,No,,Compliant,,,61,,3,18377
40,2015,NonResidential,Hotel,SILVER CLOUD INN UNIVERSITY,925049117,"{'latitude': '47.66585193', 'longitude': '-122.29889419', 'human_address': '{""address"": ""5036 25TH AVE NE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98105""}'}",4,NORTHEAST,1994,1,4,81871,0,81871,Hotel,Hotel,81871,,,,,,20,90.60,93.80,178.50,181.80,7419765,7677473,0,957249,3266270,41536,4153630,0,243.37,2.80,No,,Compliant,,,53,,48,18383
41,2015,NonResidential,"Self-Storage Facility
",QFC / SHURGARD MINI STORAGE / LIQUOR STORE,925049330,"{'latitude': '47.66270326', 'longitude': '-122.29612323', 'human_address': '{""address"": ""2746 NE 45TH ST"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98105""}'}",4,NORTHEAST,1955,1,2,126394,0,126394,Self-Storage Facility,Self-Storage Facility,26225,,,,,,77,11.70,12.20,34.00,34.50,306721,319916,0,79930,272732,340,34000,0,3.71,0.02,No,,Compliant,,,53,,48,18383
46,2015,NonResidential,Distribution Center,SEATTLE WAREHOUSE OFFICE BUILDING,323049024,"{'latitude': '47.5106034', 'longitude': '-122.29027588', 'human_address': '{""address"": ""3301 S NORFOLK ST"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98118""}'}",2,GREATER DUWAMISH,1961,7,2,714095,0,714095,,,,,,,,,1,66.90,64.70,210.00,203.30,47843892,46313516,0,14022240,47845869,0,0,0,333.54,0.18,No,,Compliant,,,58,,37,18800
50,2015,SPS-District K-12,K-12 School,LAWTON ELEMENTARY SCHOOL (SPS-DISTRICT),369000400,"{'latitude': '47.65726207', 'longitude': '-122.39065097', 'human_address': '{""address"": ""4017 26TH AVE W"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98199""}'}",7,MAGNOLIA / QUEEN ANNE,1990,1,2,54986,0,54986,K-12 School,K-12 School,54986,,,,,2016,91,30.10,33.50,80.30,91.00,1655612,1842702,0,375707,1281965,3737,373700,0,28.78,0.42,No,,Compliant,,,33,,27,18235
51,2015,SPS-District K-12,K-12 School,ECKSTEIN MIDDLE (SPS-DISTRICT),425049022,"{'latitude': '47.68245037', 'longitude': '-122.2939354', 'human_address': '{""address"": ""3003 NE 75TH ST"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98115""}'}",4,NORTHEAST,1950,1,2,175565,0,175565,K-12 School,K-12 School,182861,,,,,,88,34.10,45.50,53.60,67.30,6227419,8317888,0,457772,1561983,46655,4665500,0,258.67,1.44,Yes,,Compliant,,,53,,48,18792
52,2015,NonResidential,Small- and Mid-Sized Office,SALMON BAY CENTER 5305 & 5309,467000429,"{'latitude': '47.66580963', 'longitude': '-122.3860321', 'human_address': '{""address"": ""5305 SHILSHOLE AVE NW"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98107""}'}",6,BALLARD,1961,1,2,94900,0,94900,"Non-Refrigerated Warehouse, Office",Office,55586,Non-Refrigerated Warehouse,39314,,,,57,63.70,69.60,161.30,165.90,6043853,6605535,0,1257186,4289697,17543,1754334,0,123.08,1.10,No,,Compliant,,,4,,1,18386
53,2015,NonResidential,Small- and Mid-Sized Office,EL CENTRO DE LA RAZA,570000340,"{'latitude': '47.58002948', 'longitude': '-122.31181286', 'human_address': '{""address"": ""2524 16TH AVE S"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98144""}'}",2,GREATER DUWAMISH,1900,1,2,52554,0,52554,"Office, Other - Education",Office,51029,Other - Education,7849,,,,93,36.30,37.20,81.60,84.50,2137686,2192109,0,359310,1226016,9117,911721,0,56.97,0.98,No,,Compliant,,,42,,41,17919
54,2015,NonResidential,K-12 School,BLANCHET HIGH SCHOOL,625049002,"{'latitude': '47.68894837', 'longitude': '-122.33616192', 'human_address': '{""address"": ""8200 WALLINGFORD AVE N"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98103""}'}",6,NORTHWEST,1954,1,3,175015,0,175015,K-12 School,K-12 School,175015,,,,,,95,40.50,49.10,74.60,85.80,7080118,8596269,0,789588,2694187,43860,4386042,0,251.72,1.37,No,,Compliant,,,53,,25,18377
55,2015,NonResidential,"Self-Storage Facility
",MINI STG (OLD SKYWAY LUGGAGE CO),653000225,"{'latitude': '47.61311034', 'longitude': '-122.35096928', 'human_address': '{""address"": ""11 VINE ST"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98121""}'}",7,DOWNTOWN,1911,1,3,70586,0,70586,"Office, Self-Storage Facility, Vocational School",Self-Storage Facility,38439,Vocational School,28197,Office,3859,,,30.50,33.70,79.60,82.00,2147062,2377595,0,471115,1607511,5396,539617,0,39.87,0.47,No,,Compliant,,,5,,9,19576
56,2015,NonResidential,Hotel,HILTON SEATTLE,1975700040,"{'latitude': '47.60950466', 'longitude': '-122.3334029', 'human_address': '{""address"": ""1301 6TH AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98101""}'}",7,DOWNTOWN,1969,1,24,332210,205970,126240,Hotel,Hotel,348630,,,,,,68,44.90,44.90,121.00,121.00,15660628,15660628,0,3607318,12308680,33525,3352459,0,263.85,0.63,No,,Compliant,,,14,,24,18081
57,2015,NonResidential,Large Office,5th and Pine,1975700200,"{'latitude': '47.61103976', 'longitude': '-122.3363484', 'human_address': '{""address"": ""1513 5TH AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98101""}'}",7,DOWNTOWN,1973,1,5,168115,0,168115,"Data Center, Office, Retail Store",Office,103501,Retail Store,65676,Data Center,354,2016,79,54.30,54.30,170.70,170.70,9213841,9213841,0,2700422,9214222,0,0,0,64.23,0.15,No,,Compliant,,,14,,24,18081
58,2015,NonResidential,Retail Store,CENTURY SQUARE RETAIL,1975700365,"{'latitude': '47.61076355', 'longitude': '-122.337677', 'human_address': '{""address"": ""1525 4TH AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98101""}'}",7,DOWNTOWN,1920,1,2,57428,0,57428,"Non-Refrigerated Warehouse, Other, Retail Store",Retail Store,34617,Non-Refrigerated Warehouse,13028,Other,9783,,,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,No,,Compliant,,,14,,24,18081
59,2015,NonResidential,Small- and Mid-Sized Office,GIBRALTAR TOWER,1975700380,"{'latitude': '47.610466', 'longitude': '-122.33795929', 'human_address': '{""address"": ""1518 3RD AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98101""}'}",7,DOWNTOWN,1910,1,8,59400,0,59400,"Office, Retail Store",Office,34947,Retail Store,4993,,,,,98.00,109.40,307.90,343.50,3915947,4369220,0,1147698,3916108,0,0,0,27.3,0.18,No,,Compliant,,,14,,24,18081
60,2015,NonResidential,Mixed Use Property,MANN BUILDING/WILD GINGER/TRIPLE DOOR,1975700525,"{'latitude': '47.60883331', 'longitude': '-122.3374176', 'human_address': '{""address"": ""1401 3RD AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98101""}'}",7,DOWNTOWN,1926,1,2,52549,0,52549,"Office, Other - Entertainment/Public Assembly, Restaurant",Other - Entertainment/Public Assembly,23500,Restaurant,23500,Office,5459,,,297.10,316.40,522.80,537.10,15583947,16598244,0,1551526,5294026,102901,10290141,0,583.41,10.67,No,,Compliant,,,14,,24,18081
61,2015,Multifamily LR (1-4),Low-Rise Multifamily,GATEWOOD APTS,1975700600,"{'latitude': '47.60973588', 'longitude': '-122.3403842', 'human_address': '{""address"": ""107 PINE ST"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98101""}'}",7,DOWNTOWN,1900,1,4,48383,0,48383,"Multifamily Housing, Retail Store",Multifamily Housing,38172,Retail Store,10211,,,,75,61.00,69.90,129.60,139.40,2953338,3379678,915977,424619,1448859,5886,588563,0,112.06,2.19,No,,Compliant,,,14,,30,18081
62,2015,NonResidential,Hotel,ROOSEVELT HOTEL,1976700010,"{'latitude': '47.61229324', 'longitude': '-122.33441925', 'human_address': '{""address"": ""1531 7TH AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98101""}'}",7,DOWNTOWN,1930,1,20,98634,10043,88591,"Hotel, Parking, Restaurant",Hotel,83591,Parking,10043,Restaurant,5000,,46,69.70,73.80,201.10,213.80,6175812,6534220,0,1589324,5422999,7530,753040,0,77.8,0.55,No,,Compliant,,,14,,24,18081
63,2015,NonResidential,Hotel,SHERATON HOTEL,1976700095,"{'latitude': '47.61101988', 'longitude': '-122.3335344', 'human_address': '{""address"": ""1400 6TH AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98101""}'}",7,DOWNTOWN,1982,1,34,994212,146694,847518,"Hotel, Parking, Swimming Pool",Hotel,994212,Parking,117668,Swimming Pool,0,,60,85.90,89.30,187.30,191.60,85357952,88771488,16229832,13200400,45041634,240884,24088353,0,2846.07,2.67,No,,Compliant,,,14,,24,18081
65,2015,NonResidential,Hotel,INN AT THE MARKET,1977200050,"{'latitude': '47.60989093', 'longitude': '-122.3414255', 'human_address': '{""address"": ""86 PINE ST"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98101""}'}",7,DOWNTOWN,1985,1,7,71150,0,71150,"Hotel, Parking, Restaurant, Retail Store",Hotel,41340,Parking,13730,Retail Store,9604,,99,87.80,87.80,203.30,203.30,5040382,5040382,0,894784,3053131,19874,1987378,0,126.83,1.60,Yes,,Compliant,,,14,,30,18081
66,2015,NonResidential,Hotel,MOORE HOTEL & THEATRE,1977201035,"{'latitude': '47.61155254', 'longitude': '-122.3408486', 'human_address': '{""address"": ""1926 2ND AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98101""}'}",7,DOWNTOWN,1908,1,7,122810,0,122810,"Hotel, Other - Entertainment/Public Assembly, Retail Store",Hotel,88360,Other - Entertainment/Public Assembly,26450,Retail Store,8000,,99,41.40,50.80,65.70,75.60,5086863,6240104,0,382671,1305729,37812,3781188,0,209.92,1.66,No,,Compliant,,,5,,30,18081
67,2015,NonResidential,Hotel,QUALITY INN & SUITES - SEATTLE,1991200730,"{'latitude': '47.62037281', 'longitude': '-122.3441465', 'human_address': '{""address"": ""618 JOHN ST"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98109""}'}",7,LAKE UNION,1959,1,5,113173,42546,70627,,,,,,,,,86,70.60,73.10,166.60,174.30,4988241,5160438,0,915988,3125480,18629,1862890,0,120.73,0.95,No,,Compliant,,,56,,40,18390
68,2015,NonResidential,Hotel,HOLIDAY INN - SEATTLE,1991200935,"{'latitude': '47.6203118', 'longitude': '-122.3428044', 'human_address': '{""address"": ""211 DEXTER AVE N"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98109""}'}",7,LAKE UNION,2000,1,7,150453,34735,115718,"Hotel, Restaurant",Hotel,107547,Restaurant,3000,,,2014,83,60.80,62.60,131.70,133.40,6722886,6921805,0,1051118,3586563,31365,3136472,0,191.58,1.17,No,,Compliant,,,56,,7,18390
69,2015,NonResidential,Hotel,HOLIDAY INN EXPRESS - DOWNTOWN SEATTLE,1991200940,"{'latitude': '47.62021696', 'longitude': '-122.3432115', 'human_address': '{""address"": ""226 AURORA AVE N"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98109""}'}",7,LAKE UNION,1997,1,6,116300,28200,88100,"Hotel, Parking",Hotel,88490,Parking,28300,,,,84,68.00,69.70,147.80,150.30,6014078,6169676,0,948984,3238067,27761,2776145,0,170.01,1.34,No,,Compliant,,,56,,7,18390
70,2015,NonResidential,Hotel,HOMEWOOD SUITES HOTEL - SEATTLE,1992200235,"{'latitude': '47.62050588', 'longitude': '-122.3596901', 'human_address': '{""address"": ""206 WESTERN AVE W"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98119""}'}",7,MAGNOLIA / QUEEN ANNE,1998,1,6,155602,36744,118858,Hotel,Hotel,155602,,,,,,81,44.40,44.10,108.00,106.80,6915293,6855303,0,1338290,4566435,23490,2349046,0,156.59,0.88,No,,Compliant,,,50,,40,19575
73,2015,NonResidential,K-12 School,SEATTLE HEBREW ACADAMY,2125049015,"{'latitude': '47.63445532', 'longitude': '-122.3080163', 'human_address': '{""address"": ""1617 INTERLAKEN DR E"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98112""}'}",3,EAST,1911,1,3,56072,0,56072,K-12 School,K-12 School,56072,,,,,,77,55.40,72.30,78.70,98.60,3106930,4055974,0,161293,550355,25566,2556597,0,139.62,2.45,No,,Compliant,,,36,,6,18789
77,2015,NonResidential,Hotel,COMFORT SUITES SEATTLE CENTER,2249000170,"{'latitude': '47.62498256', 'longitude': '-122.3445605', 'human_address': '{""address"": ""601 ROY ST"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98109""}'}",7,MAGNOLIA / QUEEN ANNE,1999,1,4,122942,44891,78051,"Hotel, Parking",Hotel,78051,Parking,44891,,,,94,67.60,68.00,135.30,136.50,5276777,5306165,0,703564,2400660,28762,2876216,0,169.49,1.29,No,,Compliant,,,56,,40,18390
82,2015,NonResidential,Small- and Mid-Sized Office,WA DEPT OF SOCIAL & HEALTH SERVICES,2254501944,"{'latitude': '47.60841187', 'longitude': '-122.3095441', 'human_address': '{""address"": ""1700 E CHERRY ST"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98122""}'}",3,CENTRAL,1962,1,2,54984,0,54984,Office,Office,54984,,,,,,65,63.70,71.30,149.80,157.80,3504957,3921971,0,639274,2181293,13238,1323754,0,85.51,1.38,No,,Compliant,,,9,,17,19578
84,2015,NonResidential,Senior Care Community,PROVIDENCE MT ST VINCENT,2324039001,"{'latitude': '47.55837362', 'longitude': '-122.378518', 'human_address': '{""address"": ""4831 35TH AVE SW"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98126""}'}",1,SOUTHWEST,1922,1,5,217603,0,217603,"Parking, Senior Care Community",Senior Care Community,296313,Parking,0,,,,50,153.50,170.90,246.40,264.60,45494324,50629892,0,3540510,12080722,334141,33414103,0,1858.84,8.30,No,,Compliant,,,1,,50,19581
85,2015,NonResidential,Senior Care Community,FOSS HOME AND VILLAGE,2426039059,"{'latitude': '47.72389349', 'longitude': '-122.3562998', 'human_address': '{""address"": ""13023 GREENWOOD AVE N"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98133""}'}",5,NORTHWEST,1970,1,2,93397,0,93397,Senior Care Community,Senior Care Community,93397,,,,,,1,175.30,180.80,313.80,320.70,16371764,16886622,0,1699219,5797976,105740,10574028,0,602,6.18,No,,Compliant,,124,6,1,32,19582
86,2015,NonResidential,Hotel,SCCA - ALLIANCE HOUSE,2467400430,"{'latitude': '47.61990903', 'longitude': '-122.3320457', 'human_address': '{""address"": ""207 PONTIUS AVE N"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98109""}'}",7,LAKE UNION,2008,1,6,84103,20732,63371,"Hotel, Parking",Hotel,63371,Parking,20732,,,,68,62.80,63.80,164.10,164.00,3979132,4045411,0,872126,2975816,10034,1003439,0,74.04,0.73,No,,Compliant,,,56,,10,18390
87,2015,SPS-District K-12,K-12 School,ARBOR HEIGHTS ELEMENTARY SCHOOL (SPS-DISTRICT),2518400005,"{'latitude': '47.50935392', 'longitude': '-122.3782222', 'human_address': '{""address"": ""3701 SW 104TH ST"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98146""}'}",1,SOUTHWEST,1948,1,2,53352,0,53352,K-12 School,K-12 School,53352,,,,,,,,,,,,,,,,,,,,,Yes,Under construction starting 6/2013 (old building demolished) and ending 9/2016. New Building re-opened 9/2016. Year built changed from 1948 to 2016.,Compliant,Low Outlier,,54,,51,17920
89,2015,NonResidential,Medical Office,"POLYCLINIC MEDICAL OFFICE, NORTH BUILDING",1978201270,"{'latitude': '47.61249662', 'longitude': '-122.3213373', 'human_address': '{""address"": ""1200 HARVARD AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98122""}'}",3,EAST,1965,1,3,179014,0,179014,Medical Office,Medical Office,179014,,,,,,48.00,105.40,110.90,221.60,224.00,18868768,19858448,0,2784469,9501003,93682,9368159,0,563.78,2.92,No,,Compliant,,,8,,12,19578
95,2015,NonResidential,Hotel,SORRENTO HOTEL,1979200270,"{'latitude': '47.60895788', 'longitude': '-122.3268374', 'human_address': '{""address"": ""900 MADISON ST"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98104""}'}",3,EAST,1908,1,7,76631,0,76631,Hotel,Hotel,76631,,,,,,24.00,94.40,93.90,175.00,173.40,7231928,7192445,0,815936,2784090,44480,4447953,0,255.64,3.18,Yes,,Compliant,,,19,,12,18379
96,2015,NonResidential,Mixed Use Property,PUGET SOUND BLOOD CENTER,1979200290,"{'latitude': '47.60831445', 'longitude': '-122.3266192', 'human_address': '{""address"": ""921 TERRY AVE"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98104""}'}",3,EAST,1983,1,6,187600,18493,169107,"Data Center, Medical Office, Non-Refrigerated Warehouse, Office, Other, Parking",Medical Office,40174,Parking,20868,Office,17020,,,201.50,203.80,509.30,502.90,15240688,15416397,4816083,3055277,10425038,0,0,0,444.42,2.13,No,,Compliant,,,19,,12,18379
98,2015,NonResidential,Retail Store,FIRESTONE TIRE AND RUBBER CO,1983200230,"{'latitude': '47.622375', 'longitude': '-122.33805', 'human_address': '{""address"": ""400 WESTLAKE AVE N"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98109""}'}",7,LAKE UNION,1929,1,2,58320,0,58320,Retail Store,Retail Store,72072,,,,,,95.00,14.90,19.20,26.60,31.50,1074180,1383366,0,110291,376328,6979,697867,0,39.69,0.65,No,,Compliant,,,56,,10,18390
100,2015,NonResidential,Large Office,CITY PLACE III,1983200325,"{'latitude': '47.62428336', 'longitude': '-122.33589247', 'human_address': '{""address"": ""551 BOREN AVE N"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98109""}'}",7,LAKE UNION,2010,1,5,316306,0,316306,"Office, Other, Parking, Retail Store",Office,261826,Parking,150726,Other,15139,,96.00,46.30,46.70,139.30,139.80,13300859,13429220,0,3654943,12471183,8302,830194,0,131.03,0.24,No,,Compliant,,,56,,10,18390
102,2015,NonResidential,Hotel,MARRIOTT RESIDENCE INN,1984200065,"{'latitude': '47.6263594', 'longitude': '-122.333131', 'human_address': '{""address"": ""800 FAIRVIEW AVE N"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98109""}'}",3,LAKE UNION,1990,1,7,282863,44766,238097,"Hotel, Parking",Hotel,235788,Parking,51537,,,,40.00,79.90,85.30,178.10,186.60,18829136,20123722,0,3117920,10638785,81908,8190794,0,509.18,1.64,No,,Compliant,,,56,,10,18390
103,2015,Nonresidential COS,Other,KEY ARENA - SEATTLE CENTER,1985200003,"{'latitude': '47.62124083', 'longitude': '-122.3534322', 'human_address': '{""address"": ""305 HARRISON ST"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98109""}'}",7,MAGNOLIA / QUEEN ANNE,1962,1,1,129000,0,129000,Other,Other,368000,,,,,,,79.70,78.70,167.70,167.70,29337400,28974828,8560000,4194724,14312992,0,0,6464408,760.51,5.42,No,,Compliant,,,50,,40,18390
104,2015,Nonresidential COS,Other,BAGLEY WRIGHT THEATER - SEATTLE CENTER,1985200003,"{'latitude': '47.62124083', 'longitude': '-122.3534322', 'human_address': '{""address"": ""305 HARRISON ST"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98109""}'}",7,MAGNOLIA / QUEEN ANNE,1962,1,1,91213,0,91213,Other,Other,65000,,,,,,,78.00,85.90,201.20,216.10,5069854,5580583,1270000,1061505,3622005,0,0,177849,123.28,1.18,No,,Compliant,,,50,,40,18390
106,2015,Nonresidential COS,Other,ARMORY - SEATTLE CENTER,1985200305,"{'latitude': '47.62189039', 'longitude': '-122.3502752', 'human_address': '{""address"": ""305 HARRISON ST"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98109""}'}",7,MAGNOLIA / QUEEN ANNE,1938,1,5,396085,0,396085,Other,Other,278500,,,,,,,97.60,96.50,166.80,167.70,27185096,26880068,10951000,2334143,7964427,0,0,8269669,900.81,2.19,No,,Compliant,,,50,,40,18390
107,2015,NonResidential,Large Office,CITY PLACE IV,1986200410,"{'latitude': '47.62099765', 'longitude': '-122.33592466', 'human_address': '{""address"": ""301 BOREN AVE N"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98109""}'}",7,LAKE UNION,2010,1,12,571329,0,571329,"Office, Other, Parking",Office,598801,Parking,310699,Other,26203,,89.00,66.80,66.70,184.60,184.30,41734776,41683652,0,10033800,34236747,74995,7499452,0,636.96,0.86,No,,Compliant,,,56,,10,18390
110,2015,Nonresidential COS,Other,EXHIBITION HALL - SEATTLE CENTER,1988200440,"{'latitude': '47.62393635', 'longitude': '-122.35193', 'human_address': '{""address"": ""301 MERCER ST"", ""city"": ""SEATTLE"", ""state"": ""WA"", ""zip"": ""98109""}'}",7,MAGNOLIA / QUEEN ANNE,1962,1,2,49680,0,49680,Other,Other,52000,,,,,,,50.60,49.40,102.40,101.30,2632472,2568666,1145000,336891,1149520,0,0,337952,96.39,1.84,No,,Compliant,,,50,,40,18390
